country,year,pop,continent,lifeExp,gdpPercap
Afghanistan,2002,25268405.0,Asia,42.129,726.7340548
Afghanistan,2007,31889923.0,Asia,43.828,974.5803384
Albania,2002,3508512.0,Europe,75.651,4604.211737
Albania,2007,3600523.0,Europe,76.423,5937.029526
Algeria,2002,31287142.0,Africa,70.994,5288.040382
Algeria,2007,33333216.0,Africa,72.301,6223.367465
Angola,2002,10866106.0,Africa,41.003,2773.287312
Angola,2007,12420476.0,Africa,42.731,4797.231267
Argentina,2002,38331121.0,Americas,74.34,8797.640716
Argentina,2007,40301927.0,Americas,75.32,12779.37964
Australia,2002,19546792.0,Oceania,80.37,30687.75473
Australia,2007,20434176.0,Oceania,81.235,34435.36744
Austria,2002,8148312.0,Europe,78.98,32417.60769
Austria,2007,8199783.0,Europe,79.829,36126.4927
Bahrain,2002,656397.0,Asia,74.795,23403.55927
Bahrain,2007,708573.0,Asia,75.635,29796.04834
Bangladesh,2002,135656790.0,Asia,62.013,1136.39043
Bangladesh,2007,150448339.0,Asia,64.062,1391.253792
Belgium,2002,10311970.0,Europe,78.32,30485.88375
Belgium,2007,10392226.0,Europe,79.441,33692.60508
Benin,2002,7026113.0,Africa,54.406,1372.877931
Benin,2007,8078314.0,Africa,56.728,1441.284873
Bolivia,2002,8445134.0,Americas,63.883,3413.26269
Bolivia,2007,9119152.0,Americas,65.554,3822.137084
Bosnia and Herzegovina,2002,4165416.0,Europe,74.09,6018.975239
Bosnia and Herzegovina,2007,4552198.0,Europe,74.852,7446.298803
Botswana,2002,1630347.0,Africa,46.634,11003.60508
Botswana,2007,1639131.0,Africa,50.728,12569.85177
Brazil,2002,179914212.0,Americas,71.006,8131.212843
Brazil,2007,190010647.0,Americas,72.39,9065.800825
Bulgaria,2002,7661799.0,Europe,72.14,7696.777725
Bulgaria,2007,7322858.0,Europe,73.005,10680.79282
Burkina Faso,2002,12251209.0,Africa,50.65,1037.645221
Burkina Faso,2007,14326203.0,Africa,52.295,1217.032994
Burundi,2002,7021078.0,Africa,47.36,446.4035126
Burundi,2007,8390505.0,Africa,49.58,430.0706916
Cambodia,2002,12926707.0,Asia,56.752,896.2260153
Cambodia,2007,14131858.0,Asia,59.723,1713.778686
Cameroon,2002,15929988.0,Africa,49.856,1934.011449
Cameroon,2007,17696293.0,Africa,50.43,2042.09524
Canada,2002,31902268.0,Americas,79.77,33328.96507
Canada,2007,33390141.0,Americas,80.653,36319.23501
Central African Republic,2002,4048013.0,Africa,43.308,738.6906068
Central African Republic,2007,4369038.0,Africa,44.741,706.016537
Chad,2002,8835739.0,Africa,50.525,1156.18186
Chad,2007,10238807.0,Africa,50.651,1704.063724
Chile,2002,15497046.0,Americas,77.86,10778.78385
Chile,2007,16284741.0,Americas,78.553,13171.63885
China,2002,1280400000.0,Asia,72.028,3119.280896
China,2007,1318683096.0,Asia,72.961,4959.114854
Colombia,2002,41008227.0,Americas,71.682,5755.259962
Colombia,2007,44227550.0,Americas,72.889,7006.580419
Comoros,2002,614382.0,Africa,62.974,1075.811558
Comoros,2007,710960.0,Africa,65.152,986.1478792
Congo Dem. Rep.,2002,55379852.0,Africa,44.966,241.1658765
Congo Dem. Rep.,2007,64606759.0,Africa,46.462,277.5518587
Congo Rep.,2002,3328795.0,Africa,52.97,3484.06197
Congo Rep.,2007,3800610.0,Africa,55.322,3632.557798
Costa Rica,2002,3834934.0,Americas,78.123,7723.447195
Costa Rica,2007,4133884.0,Americas,78.782,9645.06142
Cote d'Ivoire,2002,16252726.0,Africa,46.832,1648.800823
Cote d'Ivoire,2007,18013409.0,Africa,48.328,1544.750112
Croatia,2002,4481020.0,Europe,74.876,11628.38895
Croatia,2007,4493312.0,Europe,75.748,14619.22272
Cuba,2002,11226999.0,Americas,77.158,6340.646683
Cuba,2007,11416987.0,Americas,78.273,8948.102923
Czech Republic,2002,10256295.0,Europe,75.51,17596.21022
Czech Republic,2007,10228744.0,Europe,76.486,22833.30851
Denmark,2002,5374693.0,Europe,77.18,32166.50006
Denmark,2007,5468120.0,Europe,78.332,35278.41874
Djibouti,2002,447416.0,Africa,53.373,1908.260867
Djibouti,2007,496374.0,Africa,54.791,2082.481567
Dominican Republic,2002,8650322.0,Americas,70.847,4563.808154
Dominican Republic,2007,9319622.0,Americas,72.235,6025.374752
Ecuador,2002,12921234.0,Americas,74.173,5773.044512
Ecuador,2007,13755680.0,Americas,74.994,6873.262326
Egypt,2002,73312559.0,Africa,69.806,4754.604414
Egypt,2007,80264543.0,Africa,71.338,5581.180998
El Salvador,2002,6353681.0,Americas,70.734,5351.568666
El Salvador,2007,6939688.0,Americas,71.878,5728.353514
Equatorial Guinea,2002,495627.0,Africa,49.348,7703.4959
Equatorial Guinea,2007,551201.0,Africa,51.579,12154.08975
Eritrea,2002,4414865.0,Africa,55.24,765.3500015
Eritrea,2007,4906585.0,Africa,58.04,641.3695236
Ethiopia,2002,67946797.0,Africa,50.725,530.0535319
Ethiopia,2007,76511887.0,Africa,52.947,690.8055759
Finland,2002,5193039.0,Europe,78.37,28204.59057
Finland,2007,5238460.0,Europe,79.313,33207.0844
France,2002,59925035.0,Europe,79.59,28926.03234
France,2007,61083916.0,Europe,80.657,30470.0167
Gabon,2002,1299304.0,Africa,56.761,12521.71392
Gabon,2007,1454867.0,Africa,56.735,13206.48452
Gambia,2002,1457766.0,Africa,58.041,660.5855997
Gambia,2007,1688359.0,Africa,59.448,752.7497265
Germany,2002,82350671.0,Europe,78.67,30035.80198
Germany,2007,82400996.0,Europe,79.406,32170.37442
Ghana,2002,20550751.0,Africa,58.453,1111.984578
Ghana,2007,22873338.0,Africa,60.022,1327.60891
Greece,2002,10603863.0,Europe,78.256,22514.2548
Greece,2007,10706290.0,Europe,79.483,27538.41188
Guatemala,2002,11178650.0,Americas,68.978,4858.347495
Guatemala,2007,12572928.0,Americas,70.259,5186.050003
Guinea,2002,8807818.0,Africa,53.676,945.5835837
Guinea,2007,9947814.0,Africa,56.007,942.6542111
Guinea-Bissau,2002,1332459.0,Africa,45.504,575.7047176
Guinea-Bissau,2007,1472041.0,Africa,46.388,579.231743
Haiti,2002,7607651.0,Americas,58.137,1270.364932
Haiti,2007,8502814.0,Americas,60.916,1201.637154
Honduras,2002,6677328.0,Americas,68.565,3099.72866
Honduras,2007,7483763.0,Americas,70.198,3548.330846
Hong Kong China,2002,6762476.0,Asia,81.495,30209.01516
Hong Kong China,2007,6980412.0,Asia,82.208,39724.97867
Hungary,2002,10083313.0,Europe,72.59,14843.93556
Hungary,2007,9956108.0,Europe,73.338,18008.94444
Iceland,2002,288030.0,Europe,80.5,31163.20196
Iceland,2007,301931.0,Europe,81.757,36180.78919
India,2002,1034172547.0,Asia,62.879,1746.769454
India,2007,1110396331.0,Asia,64.698,2452.210407
Indonesia,2002,211060000.0,Asia,68.588,2873.91287
Indonesia,2007,223547000.0,Asia,70.65,3540.651564
Iran,2002,66907826.0,Asia,69.451,9240.761975
Iran,2007,69453570.0,Asia,70.964,11605.71449
Iraq,2002,24001816.0,Asia,57.046,4390.717312
Iraq,2007,27499638.0,Asia,59.545,4471.061906
Ireland,2002,3879155.0,Europe,77.783,34077.04939
Ireland,2007,4109086.0,Europe,78.885,40675.99635
Israel,2002,6029529.0,Asia,79.696,21905.59514
Israel,2007,6426679.0,Asia,80.745,25523.2771
Italy,2002,57926999.0,Europe,80.24,27968.09817
Italy,2007,58147733.0,Europe,80.546,28569.7197
Jamaica,2002,2664659.0,Americas,72.047,6994.774861
Jamaica,2007,2780132.0,Americas,72.567,7320.880262
Japan,2002,127065841.0,Asia,82.0,28604.5919
Japan,2007,127467972.0,Asia,82.603,31656.06806
Jordan,2002,5307470.0,Asia,71.263,3844.917194
Jordan,2007,6053193.0,Asia,72.535,4519.461171
Kenya,2002,31386842.0,Africa,50.992,1287.514732
Kenya,2007,35610177.0,Africa,54.11,1463.249282
Korea Dem. Rep.,2002,22215365.0,Asia,66.662,1646.758151
Korea Dem. Rep.,2007,23301725.0,Asia,67.297,1593.06548
Korea Rep.,2002,47969150.0,Asia,77.045,19233.98818
Korea Rep.,2007,49044790.0,Asia,78.623,23348.13973
Kuwait,2002,2111561.0,Asia,76.904,35110.10566
Kuwait,2007,2505559.0,Asia,77.588,47306.98978
Lebanon,2002,3677780.0,Asia,71.028,9313.93883
Lebanon,2007,3921278.0,Asia,71.993,10461.05868
Lesotho,2002,2046772.0,Africa,44.593,1275.184575
Lesotho,2007,2012649.0,Africa,42.592,1569.331442
Liberia,2002,2814651.0,Africa,43.753,531.4823679
Liberia,2007,3193942.0,Africa,45.678,414.5073415
Libya,2002,5368585.0,Africa,72.737,9534.677467
Libya,2007,6036914.0,Africa,73.952,12057.49928
Madagascar,2002,16473477.0,Africa,57.286,894.6370822
Madagascar,2007,19167654.0,Africa,59.443,1044.770126
Malawi,2002,11824495.0,Africa,45.009,665.4231186
Malawi,2007,13327079.0,Africa,48.303,759.3499101
Malaysia,2002,22662365.0,Asia,73.044,10206.97794
Malaysia,2007,24821286.0,Asia,74.241,12451.6558
Mali,2002,10580176.0,Africa,51.818,951.4097518
Mali,2007,12031795.0,Africa,54.467,1042.581557
Mauritania,2002,2828858.0,Africa,62.247,1579.019543
Mauritania,2007,3270065.0,Africa,64.164,1803.151496
Mauritius,2002,1200206.0,Africa,71.954,9021.815894
Mauritius,2007,1250882.0,Africa,72.801,10956.99112
Mexico,2002,102479927.0,Americas,74.902,10742.44053
Mexico,2007,108700891.0,Americas,76.195,11977.57496
Mongolia,2002,2674234.0,Asia,65.033,2140.739323
Mongolia,2007,2874127.0,Asia,66.803,3095.772271
Montenegro,2002,720230.0,Europe,73.981,6557.194282
Montenegro,2007,684736.0,Europe,74.543,9253.896111
Morocco,2002,31167783.0,Africa,69.615,3258.495584
Morocco,2007,33757175.0,Africa,71.164,3820.17523
Mozambique,2002,18473780.0,Africa,44.026,633.6179466
Mozambique,2007,19951656.0,Africa,42.082,823.6856205
Myanmar,2002,45598081.0,Asia,59.908,611.0
Myanmar,2007,47761980.0,Asia,62.069,944.0
Namibia,2002,1972153.0,Africa,51.479,4072.324751
Namibia,2007,2055080.0,Africa,52.906,4811.060429
Nepal,2002,25873917.0,Asia,61.34,1057.206311
Nepal,2007,28901790.0,Asia,63.785,1091.359778
Netherlands,2002,16122830.0,Europe,78.53,33724.75778
Netherlands,2007,16570613.0,Europe,79.762,36797.93332
New Zealand,2002,3908037.0,Oceania,79.11,23189.80135
New Zealand,2007,4115771.0,Oceania,80.204,25185.00911
Nicaragua,2002,5146848.0,Americas,70.836,2474.548819
Nicaragua,2007,5675356.0,Americas,72.899,2749.320965
Niger,2002,11140655.0,Africa,54.496,601.0745012
Niger,2007,12894865.0,Africa,56.867,619.6768924
Nigeria,2002,119901274.0,Africa,46.608,1615.286395
Nigeria,2007,135031164.0,Africa,46.859,2013.977305
Norway,2002,4535591.0,Europe,79.05,44683.97525
Norway,2007,4627926.0,Europe,80.196,49357.19017
Oman,2002,2713462.0,Asia,74.193,19774.83687
Oman,2007,3204897.0,Asia,75.64,22316.19287
Pakistan,2002,153403524.0,Asia,63.61,2092.712441
Pakistan,2007,169270617.0,Asia,65.483,2605.94758
Panama,2002,2990875.0,Americas,74.712,7356.031934
Panama,2007,3242173.0,Americas,75.537,9809.185636
Paraguay,2002,5884491.0,Americas,70.755,3783.674243
Paraguay,2007,6667147.0,Americas,71.752,4172.838464
Peru,2002,26769436.0,Americas,69.906,5909.020073
Peru,2007,28674757.0,Americas,71.421,7408.905561
Philippines,2002,82995088.0,Asia,70.303,2650.921068
Philippines,2007,91077287.0,Asia,71.688,3190.481016
Poland,2002,38625976.0,Europe,74.67,12002.23908
Poland,2007,38518241.0,Europe,75.563,15389.92468
Portugal,2002,10433867.0,Europe,77.29,19970.90787
Portugal,2007,10642836.0,Europe,78.098,20509.64777
Puerto Rico,2002,3859606.0,Americas,77.778,18855.60618
Puerto Rico,2007,3942491.0,Americas,78.746,19328.70901
Reunion,2002,743981.0,Africa,75.744,6316.1652
Reunion,2007,798094.0,Africa,76.442,7670.122558
Romania,2002,22404337.0,Europe,71.322,7885.360081
Romania,2007,22276056.0,Europe,72.476,10808.47561
Rwanda,2002,7852401.0,Africa,43.413,785.6537648
Rwanda,2007,8860588.0,Africa,46.242,863.0884639
Sao Tome and Principe,2002,170372.0,Africa,64.337,1353.09239
Sao Tome and Principe,2007,199579.0,Africa,65.528,1598.435089
Saudi Arabia,2002,24501530.0,Asia,71.626,19014.54118
Saudi Arabia,2007,27601038.0,Asia,72.777,21654.83194
Senegal,2002,10870037.0,Africa,61.6,1519.635262
Senegal,2007,12267493.0,Africa,63.062,1712.472136
Serbia,2002,10111559.0,Europe,73.213,7236.075251
Serbia,2007,10150265.0,Europe,74.002,9786.534714
Sierra Leone,2002,5359092.0,Africa,41.012,699.489713
Sierra Leone,2007,6144562.0,Africa,42.568,862.5407561
Singapore,2002,4197776.0,Asia,78.77,36023.1054
Singapore,2007,4553009.0,Asia,79.972,47143.17964
Slovak Republic,2002,5410052.0,Europe,73.8,13638.77837
Slovak Republic,2007,5447502.0,Europe,74.663,18678.31435
Slovenia,2002,2011497.0,Europe,76.66,20660.01936
Slovenia,2007,2009245.0,Europe,77.926,25768.25759
Somalia,2002,7753310.0,Africa,45.936,882.0818218
Somalia,2007,9118773.0,Africa,48.159,926.1410683
South Africa,2002,44433622.0,Africa,53.365,7710.946444
South Africa,2007,43997828.0,Africa,49.339,9269.657808
Spain,2002,40152517.0,Europe,79.78,24835.47166
Spain,2007,40448191.0,Europe,80.941,28821.0637
Sri Lanka,2002,19576783.0,Asia,70.815,3015.378833
Sri Lanka,2007,20378239.0,Asia,72.396,3970.095407
Sudan,2002,37090298.0,Africa,56.369,1993.398314
Sudan,2007,42292929.0,Africa,58.556,2602.394995
Swaziland,2002,1130269.0,Africa,43.869,4128.116943
Swaziland,2007,1133066.0,Africa,39.613,4513.480643
Sweden,2002,8954175.0,Europe,80.04,29341.63093
Sweden,2007,9031088.0,Europe,80.884,33859.74835
Switzerland,2002,7361757.0,Europe,80.62,34480.95771
Switzerland,2007,7554661.0,Europe,81.701,37506.41907
Syria,2002,17155814.0,Asia,73.053,4090.925331
Syria,2007,19314747.0,Asia,74.143,4184.548089
Taiwan,2002,22454239.0,Asia,76.99,23235.42329
Taiwan,2007,23174294.0,Asia,78.4,28718.27684
Tanzania,2002,34593779.0,Africa,49.651,899.0742111
Tanzania,2007,38139640.0,Africa,52.517,1107.482182
Thailand,2002,62806748.0,Asia,68.564,5913.187529
Thailand,2007,65068149.0,Asia,70.616,7458.396327
Togo,2002,4977378.0,Africa,57.561,886.2205765
Togo,2007,5701579.0,Africa,58.42,882.9699438
Trinidad and Tobago,2002,1101832.0,Americas,68.976,11460.60023
Trinidad and Tobago,2007,1056608.0,Americas,69.819,18008.50924
Tunisia,2002,9770575.0,Africa,73.042,5722.895655
Tunisia,2007,10276158.0,Africa,73.923,7092.923025
Turkey,2002,67308928.0,Europe,70.845,6508.085718
Turkey,2007,71158647.0,Europe,71.777,8458.276384
Uganda,2002,24739869.0,Africa,47.813,927.7210018
Uganda,2007,29170398.0,Africa,51.542,1056.380121
United Kingdom,2002,59912431.0,Europe,78.471,29478.99919
United Kingdom,2007,60776238.0,Europe,79.425,33203.26128
United States,2002,287675526.0,Americas,77.31,39097.09955
United States,2007,301139947.0,Americas,78.242,42951.65309
Uruguay,2002,3363085.0,Americas,75.307,7727.002004
Uruguay,2007,3447496.0,Americas,76.384,10611.46299
Venezuela,2002,24287670.0,Americas,72.766,8605.047831
Venezuela,2007,26084662.0,Americas,73.747,11415.80569
Vietnam,2002,80908147.0,Asia,73.017,1764.456677
Vietnam,2007,85262356.0,Asia,74.249,2441.576404
West Bank and Gaza,2002,3389578.0,Asia,72.37,4515.487575
West Bank and Gaza,2007,4018332.0,Asia,73.422,3025.349798
Yemen Rep.,2002,18701257.0,Asia,60.308,2234.820827
Yemen Rep.,2007,22211743.0,Asia,62.698,2280.769906
Zambia,2002,10595811.0,Africa,39.193,1071.613938
Zambia,2007,11746035.0,Africa,42.384,1271.211593
Zimbabwe,2002,11926563.0,Africa,39.989,672.0386227
Zimbabwe,2007,12311143.0,Africa,43.487,469.7092981
